atom_id,mapped_field,law_article,repo_law_name(blank?),joined_law_name(true),runtime_law_name,article_match,evidence_present,same_collapse_as_R01
1ba2c57e-8685-524d-983f-9a1293afda8d,has_gas,30,(blank),도시가스사업법,산업안전보건기준에 관한 규칙,YES,YES,YES(blank_source->default)
1d248a2e-cf88-5822-b51c-9075d72ca1cd,has_gas,12,(blank),도시가스사업법,산업안전보건기준에 관한 규칙,YES,YES,YES(blank_source->default)
21d45eb4-29a7-50d1-9834-515e7705bac6,has_demolition,16,(blank),어린이놀이시설 안전관리법,산업안전보건기준에 관한 규칙,YES,YES,YES(blank_source->default)
3c8a09fa-c9e7-5e64-b2d4-4d27be9b4091,has_subcontractor,38,(blank),건설산업기본법,산업안전보건기준에 관한 규칙,YES,YES,YES(blank_source->default)
4a63de61-8d0d-58ca-8a89-7df22bde9c5b,has_subcontractor,22,(blank),소방시설공사업법,산업안전보건기준에 관한 규칙,YES,YES,YES(blank_source->default)
5e4057a7-12e1-59f8-9911-afc73696e1b0,has_gas,17,(blank),도시가스사업법,산업안전보건기준에 관한 규칙,YES,YES,YES(blank_source->default)
8802a9d1-d12f-5e02-808d-f18a1ddf60f1,has_subcontractor,26,(blank),정보통신공사업법,산업안전보건기준에 관한 규칙,YES,YES,YES(blank_source->default)
886a5841-9a6d-5805-aa00-bfb648df0464,has_asbestos,22,(blank),석면안전관리법,산업안전보건기준에 관한 규칙,YES,YES,YES(blank_source->default)
9c66dac6-43fc-5c76-8f55-8e508b444c22,has_gas,41,(blank),도시가스사업법,산업안전보건기준에 관한 규칙,YES,YES,YES(blank_source->default)
a0098d92-a822-56f5-91e1-6be333979e2a,has_chemical,44,(blank),화학물질관리법,산업안전보건기준에 관한 규칙,YES,YES,YES(blank_source->default)
a233cece-0af7-553d-a6c4-b8f51264e0f4,has_gas,15,(blank),도시가스사업법 시행규칙,산업안전보건기준에 관한 규칙,YES,YES,YES(blank_source->default)
a4b8422b-fb0b-5984-996d-cc6d90920df4,has_subcontractor,31,(blank),정보통신공사업법,산업안전보건기준에 관한 규칙,YES,YES,YES(blank_source->default)
ae0a74ad-9452-5677-8080-37d603eb0645,has_crane,125,(blank),건설기계 안전기준에 관한 규칙,산업안전보건기준에 관한 규칙,YES,YES,YES(blank_source->default)
c5e81202-dcd3-5884-a70d-306ed0978ab1,has_subcontractor,35,(blank),건설산업기본법,산업안전보건기준에 관한 규칙,YES,YES,YES(blank_source->default)
cacdac8d-39b8-5290-9d32-6b17e607e73b,has_gas,20,(blank),도시가스사업법 시행규칙,산업안전보건기준에 관한 규칙,YES,YES,YES(blank_source->default)
ce59b35c-84bf-55ba-b58e-0902fd50b713,has_water_tank,22,(blank),수도법 시행규칙,산업안전보건기준에 관한 규칙,YES,YES,YES(blank_source->default)
d7be3706-e0a3-56c6-8664-285169cf342d,has_excavation,38,(blank),산업안전보건법,산업안전보건기준에 관한 규칙,YES,YES,YES(blank_source->default)
dd5c7383-3d01-5565-8ef8-32e1d94cb350,has_excavation,30,(blank),도시가스사업법,산업안전보건기준에 관한 규칙,YES,YES,YES(blank_source->default)
e16a2391-a0df-5b6f-ab28-15d8bf5286b5,has_subcontractor,36,(blank),건설산업기본법,산업안전보건기준에 관한 규칙,YES,YES,YES(blank_source->default)
e843bdd4-1c07-5bc1-9a85-e3f92b7c5c16,has_chemical,31,(blank),화학물질관리법,산업안전보건기준에 관한 규칙,YES,YES,YES(blank_source->default)
f13a858e-0414-51a8-8aac-f0cf6892c551,has_excavation,41,(blank),건축법,산업안전보건기준에 관한 규칙,YES,YES,YES(blank_source->default)
f7bb266f-d965-5675-ba2e-972ab1af5127,has_subcontractor,37,(blank),건설산업기본법,산업안전보건기준에 관한 규칙,YES,YES,YES(blank_source->default)
fd6d8b7d-6988-5566-a145-58205ce2ac77,has_subcontractor,21,(blank),소방시설공사업법,산업안전보건기준에 관한 규칙,YES,YES,YES(blank_source->default)
